qa_type,question,q_entity,answer,a_entity,intent
q,다 합쳐서 가격이 얼마인 거죠?,,,,가격문의
q,총 가격이 얼마입니까?,,,,가격문의
q,아이스 아메리카노는 가격이 다른가요?,,,,가격문의
q,마카롱은 하나에 얼마에요?,,,,가격문의
q,텀블러 가격은 얼마예요?,,,,가격문의
q,핫이랑 아이스랑 가격이 다른가요?,,,,가격문의
q,아메리카노 가격은 얼마예요?,,,,가격문의
q,아메리카노 얼마에요?,,,,가격문의
q,아이스 아메리카노 가격이 얼마인가요?,"아이스,아메리카노,가격",,,가격문의
q,카페라테 가격이 얼마에요?,"카페라테,가격",,,가격문의
q,라테 위에 바닐라 아이스크림 올리면 얼마 추가되나요?,"라테,바닐라 아이스크림,추가",,,가격문의
qa,아메리카노 한 잔 얼마예요?,"아메리카노,한 잔",텀블러 할인해서 3500원이에요,"텀블러,할인,3500원",가격문의
qa,쿠키는 얼마예요?,쿠키,쿠키는 2200원이에요,"쿠키,2200원",가격문의
qa,생강청은 얼마인가요?,생강청,500mL에 23000원이에요,"500mL,23000원",가격문의
qa,프라페는 얼마인가요?,"프라페,얼마","큰 사이즈 3800원, 작은 사이즈는 3300원이에요","사이즈,3800원,사이즈,3300원",가격문의
qa,더치커피는 큰 사이즈가 얼마예요?,"더치 커피,사이즈",제일 큰 사이즈 더치커피는 28500원이에요,"사이즈,더치 커피,28500원",가격문의
qa,카페 모카는 얼마인가요?,"카페 모카,얼마",카페 모카는 4500원이에요,"카페 모카,4500원",가격문의
qa,컵 사이즈별 가격이 어떻게 되나요?,"컵,사이즈별,가격",스몰이 4300원이고 각 사이즈 별로 500원씩 차이가 나요,"스몰,4300원,사이즈,500원",가격문의
qa,이건 가격이 얼마예요?,가격,1800원이요,1800원,가격문의
qa,저 원두는 얼마인가요?,원두,12000원이랑 14000원짜리 두 가지 있어요,"12000원,14000원",가격문의
qa,네 햄 치즈는 얼마씩 해요?,햄치즈,5000원입니다,5000원,가격문의
qa,수삼 주스는 얼마에요?,수삼주스,수삼 주스는 5500원입니다,"수삼주스, 5500원",가격문의
qa,테이크아웃은 더 싸나요?,테이크아웃,테이크아웃은 500원 할인됩니다,"테이크아웃, 500원, 할인",가격문의
qa,테이크아웃하면 더 저렴해요?,테이크아웃,테이크아웃해도 가격은 똑같습니다,"테이크아웃, 가격",가격문의
qa,애플망고 주스는 가격이 얼마에요?,애플망고주스,애플망고 주스 가격은 5800원입니다,"애플망고주스, 가격, 5800원",가격문의
qa,치즈케이크는 얼마에요?,치즈케이크,9000원입니다,9000원,가격문의
qa,가격은?,가격,마카롱은 2000원입니다,"마카롱, 2000원",가격문의
qa,레모네이드 한 잔은 얼마에요?,"레몬에이드,한 잔",레모네이드는 2000원입니다,"레몬에이드, 2000원",가격문의
qa,말린 과일은 다 2000원씩이에요?,"말린 과일,2000원","네, 말린 과일은 2000원입니다","말린 과일, 2000원",가격문의
qa,"작은 거는 얼마고, 큰 거는 얼마에요?","작은거,큰거","작은 사이즈는 1800원, 큰 사이즈는 2800원입니다","작은 사이즈, 1800원, 큰 사이즈 2800원",가격문의
